state,District Name,block,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft (Total),Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Stage of Groundwater Development (%)
TN,Tiruvannamalai,Polur,77.529942,1421.92,1499.45,1855.05,185.51,1669.54,89.81216383
TN,Tiruvannamalai,Pudupalayam,94.660086,5157.0,5251.66,3799.73,379.97,3419.76,153.5680866
UK,Almora,Hawalbagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,Pachal,69.688647,2390.85,2460.54,2185.68,218.57,1967.11,125.0840065
TN,Tiruvannamalai,Peranamallur,35.568666,1494.35,1529.91,1915.75,191.58,1724.17,88.73312956
UK,Almora,Ranikhet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,Santhavasal,93.735285,2637.2,2730.94,2983.08,298.31,2684.77,101.7197004
TN,Tiruvannamalai,Somaspadi,48.895035,2169.7,2218.6,1851.06,185.11,1665.95,133.1732645
TN,Tiruvannamalai,Thachambadi,31.766826,1596.8,1628.56,1734.2,173.42,1560.78,104.3427004
TN,Tiruvannamalai,Thandarampat,77.204478,2493.0,2570.2,3066.58,153.72,2912.86,88.23630384
TN,Tiruvannamalai,Thurinjapuram,53.898069,2360.6,2414.5,2128.48,106.6,2021.88,119.4185609
TN,Tiruvannamalai,Thanipadi,75.969348,1668.08,1744.05,1780.47,178.05,1602.42,108.8385068
TN,Tiruvannamalai,Thatchampattu,52.922226,1260.78,1313.7,1285.98,128.6,1157.38,113.5063678
TN,Tiruvannamalai,Vanapuram,82.303139,2686.28,2768.58,3394.78,170.07,3224.71,85.85516217
TN,Tiruvannamalai,Vandavasi,162.094948,1650.82,1812.91,2051.15,205.12,1846.03,98.20587964
TN,Theni,Thevaram,84.8433596,1409.4,1494.24,1638.69,163.87,1474.82,101.3167709
TN,Tiruvannamalai,Veraiyur,14.580363,1148.0,1162.58,1356.8,135.68,1221.12,95.20604036
TN,Tiruvannamalai,Vettavlam,72.579885,2068.66,2141.24,2152.74,215.28,1937.46,110.5178946
TN,Theni,Erasakkanaickanur,123.55,1407.0,1530.55,1356.52,135.65,1220.87,125.365518
TN,Tiruppur,Alangiyam,59.264021,1640.65,1699.91,1928.17,96.41,1831.76,92.80200463
TN,Tiruppur,Avinashi(E),90.082564,860.5,950.58,850.53,85.05,765.48,124.1809061
TN,Tiruppur,Karadivavi,30.910282,673.5,704.41,564.55,56.46,508.09,138.6388238
UK,Almora,Dhaula Devi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruppur,Avinashi(W),78.947869,1164.0,1242.94,1151.99,115.2,1036.79,119.8834865
TN,Tiruppur,Avinashipalayam(S),56.696423,2179.0,2235.7,2082.08,104.1,1977.98,113.0294543
TN,Namakkal,Nallur,42.343925,2136.8,2179.14,1079.06,107.91,971.15,224.3875817
TN,Tiruppur,Cheyur,86.363555,1795.5,1881.85,1743.28,174.32,1568.96,119.9425097
TN,Tiruppur,Gudimangalam,61.580674,2255.61,2317.19,2204.65,220.46,1984.19,116.782667
TN,Tiruppur,Kangeyam,101.24871,2858.5,2959.75,1970.02,197.0,1773.02,166.9326911
TN,Tiruppur,Velampalayam,126.270208,215.5,341.76,284.37,28.44,255.93,133.5365139
TN,Tiruppur,Kannivadi,50.855403,1632.32,1683.18,1556.5,155.65,1400.85,120.1541921
TN,Tiruppur,Kundadam,59.860248,3538.35,3598.21,3426.05,342.6,3083.45,116.6942872
TN,Tiruppur,Kunnathur,61.157502,1739.14,1800.3,1495.81,149.58,1346.23,133.7290062
TN,Tiruppur,Nathakadaiyur,60.184966,1473.0,1533.19,1799.64,179.96,1619.68,94.66005631
UK,Almora,Lamgarha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruppur,Palladam,105.284323,1808.5,1913.78,1186.62,118.67,1067.95,179.2012735
TN,Tiruppur,Periavalavadi,64.802976,1383.0,1447.81,1253.75,125.37,1128.38,128.3087258
TN,Tiruppur,Perumanallur,53.617093,625.52,679.14,665.56,66.56,599.0,113.3789649
TN,Vellore,Ambur,235.028878,476.5,711.53,558.15,55.81,502.34,141.6431102
TN,Tiruppur,Pethappampatti,64.612658,2097.45,2162.06,2290.69,229.07,2061.62,104.8718969
TN,Tiruppur,Pongalur,66.682159,2314.26,2380.94,2353.94,235.4,2118.54,112.3858884
TN,Tiruppur,Ponnapuram,39.283012,1395.0,1434.28,1512.53,151.25,1361.28,105.3625999
TN,Tiruppur,Samalapuram,94.835105,933.45,1028.29,798.08,79.81,718.27,143.1620421
TN,Tiruppur,Sankarandampalayam,39.522676,1420.72,1460.24,1725.61,172.56,1553.05,94.02401726
TN,Tiruppur,Tiruppur (S),660.625547,271.0,931.63,385.07,38.5,346.57,268.8143809
TN,Tirupathur,Ammanankoil,91.69553,1297.5,1389.2,1048.04,104.81,943.23,147.2811509
TN,Tiruppur,Uthiyur,33.579687,1608.0,1641.58,1386.08,138.61,1247.47,131.5927437
TN,Tiruppur,Uthukuli,75.839043,1425.26,1501.1,1359.77,67.99,1291.78,116.2039976
TN,Tiruppur,Vellakoil,196.960303,3432.0,3628.96,3685.33,368.53,3316.8,109.4114809
TN,Thoothukudi,Ilayarasanendal,32.154675,965.0,997.15,867.21,86.72,780.49,127.7594844
TN,Thoothukudi,Pallakurichi,73.455469,2193.8,2267.25,1306.35,130.64,1175.71,192.8409217
TN,Thoothukudi,Udangudi,80.824359,1825.6,1906.43,2039.71,203.97,1835.74,103.8507632
TN,Thiruvarur,Agarathirumalam,78.869082,1085.2897,1164.16,1161.08,116.12,1044.96,111.4071352
TN,Thiruvarur,Alangudi,65.750612,1422.8865,1488.64,1252.22,125.22,1127.0,132.0887311
TN,Thiruvarur,Avoor,59.084071,1441.8,1500.89,1067.87,106.79,961.08,156.1670204
TN,Ranipet,Kalavai,26.472355,1192.14,1218.61,1444.59,144.45,1300.14,93.72913686
TN,Thiruvarur,Kodavasal,79.789713,1553.424,1633.21,1201.34,120.14,1081.2,151.0553089
TN,Thiruvarur,Thiruvizhimazhalai,100.221061,1387.488,1487.71,1136.99,113.7,1023.29,145.3849837
TN,Thiruvarur,Koradacheri,78.210247,854.3355,932.55,990.12,99.01,891.11,104.6503799
TN,Vellore,Agaram,56.546295,710.0,766.55,586.65,58.67,527.98,145.1854237
TN,Thiruvarur,Kulikkarai,85.290117,1224.231,1309.52,1200.2,120.02,1080.18,121.2316466
TN,Thiruvarur,Peralam,85.445765,1402.0385,1487.49,1444.9,144.49,1300.42,114.3853524
TN,Viluppuram,Nemili,56.702136,1986.8,2043.51,1818.98,181.9,1637.08,124.8265204
TN,Thiruvarur,Thirukkannamangai,114.409686,1098.3635,1212.77,1136.74,113.68,1023.06,118.5433894
TN,Tirupathur,Alangayam,247.6,340.9,588.5,684.61,68.45,616.15,95.51245638
TN,Vellore,Anaicut,59.16860775,1238.15,1297.32,724.19,72.42,651.77,199.0456756
TN,Tirupathur,Andiyappanur,596.3,643.3,1239.6,1491.38,149.13,1342.25,92.35239337
TN,Ranipet,Arcot,128.03425,526.9,654.93,514.27,51.43,462.84,141.5024631
TN,Tirupathur,Natrampalli,200.8,2940.6,3141.4,1272.48,127.24,1145.24,274.3005833
TN,Vellore,Gudiyatham(East),143.6885095,2500.8,2644.49,1472.87,147.29,1325.58,199.496824
TN,Vellore,Gudiyatham (West),73.021873,1548.1,1621.13,1427.67,142.77,1284.9,126.1677952
TN,Vellore,K.V.Kuppam,35.01180375,702.6,737.61,454.11,45.41,408.7,180.4771226
UK,Almora,Chaukhutiya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tirupathur,Koratti,141.19343,1475.6,1616.79,1751.23,175.12,1576.11,102.5810381
TN,Vellore,Madhanur,88.9372515,539.8,628.73,504.0,50.4,453.6,138.6089065
TN,Vellore,Melasannankuppam,33.512402,1288.5,1322.01,743.09,74.31,668.78,197.6748707
TN,Vellore,Melpatti,68.4073935,747.1,815.51,733.32,73.33,659.99,123.5639934
UK,Almora,Syalde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Vellore,Odugathur,61.431909,1544.4,1605.83,1114.82,111.48,1003.34,160.0484382
TN,Vellore,Pallikonda,103.6363805,1256.05,1359.68,1007.19,100.71,906.48,149.9955873
TN,Vellore,Pernampattu,132.196236,639.8,771.99,962.93,96.3,866.63,89.07953798
TN,Ranipet,Pudupadi,141.70886,2037.0,2178.71,1591.44,159.15,1432.29,152.1137479
TN,Vellore,Sathuvachari,756.0601133,399.53,1155.59,686.74,68.67,618.07,186.9674956
TN,Coimbatore,Kottur,92.739762,1966.3,2059.04,2441.69,244.17,2197.52,93.69835087
TN,Tirupathur,Tirupathur,1148.6,1627.9,2776.5,2185.49,218.55,1966.94,141.1583475
TN,Vellore,Vaduganthangal,78.11363175,1503.9,1582.02,938.92,93.89,845.03,187.2146551
TN,Vellore,Valathur,82.48592525,783.3,865.78,511.76,51.18,460.58,187.9760302
TN,Tirupathur,Vaniyambadi,721.0,1382.4,2103.4,1211.51,121.14,1090.37,192.9069949
TN,Vellore,Vellore,500.74,96.23,596.97,306.21,30.62,275.59,216.6152618
TN,Virudhunagar,Cholapuram,37.1335556,1904.4,1941.53,1415.25,141.52,1273.73,152.4286937
TN,Virudhunagar,Kottaiyur,61.27,1335.6,1396.87,2028.46,202.85,1825.61,76.51524696
TN,Virudhunagar,Narikudi,55.549788,111.4,166.95,3629.05,362.91,3266.14,5.11153839
TN,Virudhunagar,Pandalkudi,31.164357,291.7,322.86,1165.88,116.59,1049.29,30.76937739
TN,Virudhunagar,Thiruchuli,230.133508,560.5,790.64,2595.14,259.51,2335.63,33.85125212
TN,Viluppuram,Avalurpettai,66.733023,3129.55,3196.28,3478.02,347.8,3130.22,102.1103948
TN,Virudhunagar,Vatchakara-Patti,323.954018,867.0,1190.95,1337.57,133.76,1203.81,98.93172511
TN,Virudhunagar,Virudhunagar,42.1872,179.724,221.91,364.37,36.44,327.93,67.66992956
TN,Viluppuram,Anniyur,90.051507,3534.0,3624.05,2967.7,296.77,2670.93,135.6849487
TN,Viluppuram,Brammadesam,88.671786,1348.8,1437.47,1298.62,129.87,1168.75,122.9920856
TN,Kallakkurichi,Elavanasurkottai,201.4505495,3249.28,3450.73,3219.11,321.91,2897.2,119.1056883
TN,Viluppuram,Kanjanur,89.108691,3108.6,3197.71,3131.58,313.16,2818.42,113.45754
TN,Kallakkurichi,Eraiyur,135.0659341,3793.14,3928.2,3759.6,375.96,3383.64,116.0939107
TN,Viluppuram,Kiliyanur,63.904342,2417.78,2481.68,2884.69,288.47,2596.22,95.58820131
UK,Champawat,Lohaghat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Viluppuram,Gingee,124.841555,4021.6,4146.44,3789.1,378.91,3410.19,121.5897061
TN,Viluppuram,Marakanam,55.967868,1856.2,1912.17,2425.35,242.53,2182.82,87.60090159
UK,Nainital,Betalghat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Kallakkurichi,Indili,66.82306161,3739.34,3806.17,3629.07,362.91,3266.16,116.5334827
TN,Kallakkurichi,Kalamarudur,157.610989,2898.48,3056.09,3518.36,351.83,3166.53,96.51227053
TN,Viluppuram,Melmalayanur,67.845981,3037.8,3105.65,2499.77,249.98,2249.79,138.0417728
TN,Kallakkurichi,Nainarpalayam,54.31156646,3315.96,3370.27,3131.95,313.2,2818.75,119.5661197
UK,Tehri Garhwal,Chamba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Viluppuram,Sathampati,56.756259,2335.6,2392.36,2444.25,244.43,2199.82,108.7525343
TN,Viluppuram,Sathiyamangalam,113.190475,5236.0,5349.19,5317.71,531.77,4785.94,111.7688479
TN,Viluppuram,Siruvadi,64.209705,2639.4,2703.61,2241.56,224.15,2017.41,134.0139089
TN,Viluppuram,Sithalampattu,125.733594,4145.2,4270.94,3895.76,389.57,3506.19,121.8114249
TN,Kallakkurichi,Thiruppalapandal,76.20851182,2402.769,2478.98,2397.27,239.73,2157.54,114.8984492
TN,Kallakkurichi,Thiyagadurgam,154.2857143,3899.62,4053.91,4036.41,403.65,3632.76,111.5931138
TN,Viluppuram,Tindivanam,84.324489,2980.2,3064.52,3852.25,385.23,3467.02,88.39060634
TN,Viluppuram,Uppuvelur,48.415206,2357.42,2405.84,2306.7,230.67,2076.03,115.886572
TN,Viluppuram,Vallam,100.349052,4130.0,4230.35,3677.66,367.77,3309.89,127.8093834
TN,Dindigul,Oruthattu,108.002512,765.6,873.6,950.0,95.0,855.0,102.1754386
TN,Viluppuram,Villupuram,128.447807,1898.6,2027.05,2735.49,273.55,2461.94,82.33547528
TN,Coimbatore,Saravanampatti,129.407242,470.6,600.01,606.06,60.61,545.45,110.00275
TN,Dindigul,Pillaiyarnatham,75.001089,900.8,975.8,1150.97,115.1,1035.87,94.20100978
TN,Thiruvarur,Valangaiman,56.047432,1022.404,1078.45,825.51,82.55,742.96,145.155863
TN,Coimbatore,Madukkarai,73.951257,521.0,594.95,590.51,59.05,531.46,111.9463365
TN,Dindigul,Neikkarapattai,78.123035,1502.9,1581.03,1784.23,178.42,1605.81,98.45685355
TN,Coimbatore,Thirumalaiampalayam,52.467441,697.2,749.67,696.75,69.68,627.07,119.5512463
TN,Cuddalore,Pennadam,109.509177,4877.6,4987.11,3698.57,369.86,3328.71,149.8211019
UK,Champawat,Pati,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dharmapuri,Krishnapuram,175.738283,1328.0,1503.73,1792.69,89.63,1703.06,88.29577349
TN,Dharmapuri,Morappur,131.239108,1504.02,1635.26,2019.63,201.96,1817.67,89.96462504
TN,Erode,Ammapettai,220.958955,1598.4,1819.36,1964.67,98.23,1866.44,97.47755085
TN,Dharmapuri,Nallampalli,171.5402728,950.7,1122.24,1450.87,145.09,1305.78,85.94403345
TN,Dharmapuri,Pappireddipatty,136.9064813,1260.0,1396.91,1726.06,172.61,1553.45,89.92307445
UK,Nainital,Dhari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Erode,Kasipalayam,32.019771,967.1,999.12,928.6,92.86,835.74,119.5491421
TN,Erode,Kilampadi,35.594727,1671.4,1707.0,1687.66,168.76,1518.9,112.3839621
TN,Erode,Sathyamangalam,269.897257,1794.8,2064.69,2120.89,106.05,2014.84,102.4741419
TN,Krishnagiri,Nagarasampatti,85.0316775,1196.0,1281.04,1349.37,134.94,1214.43,105.4848777
TN,Erode,Thingalur,91.09086,1044.2,1135.29,1056.41,105.64,950.77,119.4074277
TN,Krishnagiri,Mathigiri,25.6739175,1000.0,1025.67,1297.36,129.74,1167.62,87.84279132
TN,Krishnagiri,Rayakottai,142.790263,1640.0,1782.79,2099.39,209.94,1889.45,94.35497102
TN,Chengalpattu,L.Endathur,34.248753,1612.798,1647.05,1966.83,98.35,1868.48,88.14919079
TN,Kancheepuram,Thiruppu Kuzhi,25.4413045,1763.7,1789.14,2316.8,231.68,2085.12,85.80513352
TN,Chengalpattu,Thirukazhukundram,47.1882115,1962.8,2009.99,2442.44,244.25,2198.19,91.43841069
TN,Madurai,Karumathur,17.32,1778.4,1795.72,2204.01,220.4,1983.61,90.52787594
TN,Madurai,Madurai West,174.5,133.6723333,308.17,351.66,35.16,316.5,97.36808847
TN,Madurai,Thirumangalam,148.15,1212.0,1360.15,1611.79,161.18,1450.61,93.76400273
TN,Namakkal,Elachipalayam,75.562215,2876.0,2951.56,3480.83,348.09,3132.74,94.21656441
TN,Pudukkottai,Keeramangalam,50.4006965,1574.0,1624.4,2079.64,207.97,1871.67,86.78880358
TN,Tiruchirappalli,Ealurpatti,97.147743,984.173,1081.33,1329.92,75.68,1254.24,86.21396224
TN,Tiruchirappalli,Kattuputhur,52.879302,1392.8,1445.67,1821.63,182.16,1639.47,88.17910666
TN,Tiruchirappalli,Thottiyam,60.627084,1974.24,2034.86,2605.54,260.55,2344.99,86.77478369
TN,Tenkasi,Kadayanallur,170.217525,2394.05,2564.27,3232.42,323.25,2909.17,88.14438482
TN,Tirunelveli,Radhapuram,36.919896,1710.0,1746.92,2039.9,203.99,1835.91,95.1528125
TN,Tenkasi,Veerakeralampudur,40.35015,1053.6,1093.95,1257.77,125.79,1131.98,96.64040001
TN,Thanjavur,Adirampattinam,31.052851,1107.153333,1138.2,1230.22,123.03,1107.19,102.800784
TN,Thanjavur,Nambivayal,44.468699,1255.091667,1299.56,1444.01,144.4,1299.61,99.99615269
TN,Thanjavur,Sillathur,42.667989,2108.328,2151.0,2111.51,211.15,1900.36,113.18908
TN,Thanjavur,Thambikkottai,45.430229,1380.916667,1426.35,1683.39,168.34,1515.05,94.14540774
TN,Thanjavur,Ulur,49.169442,1602.618,1651.79,1939.13,193.91,1745.22,94.64652021
TN,Thiruvallur,Cherukkanoor,190.6205345,718.2,908.82,1096.29,55.52,1040.77,87.32188668
TN,Thiruvallur,Kanagammachattram,84.15723625,938.2,1022.35,1376.71,137.67,1239.04,82.51146049
TN,Thiruvallur,Kannigaipair,289.317742,997.2,1286.52,1736.87,173.68,1563.19,82.30093591
TN,Thiruvallur,Thirumazhisai,82.5859965,1378.135333,1460.73,1806.5,180.65,1625.85,89.84408156
TN,Thiruvallur,Tiruttani,163.9985038,1384.7,1548.7,1750.48,175.05,1575.43,98.30332036
TN,Tiruvannamalai,Devikapuram,65.356773,1416.96,1482.32,1990.98,199.1,1791.88,82.72428957
TN,Tiruvannamalai,Kannamangalam,100.578254,1437.0,1537.58,1916.96,191.7,1725.26,89.12163964
UK,Chamoli,Karanprayag,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,T.V.Malai (North),165.514944,1414.0,1579.52,1991.57,199.16,1792.41,88.12269514
TN,Tiruvannamalai,Thellar,57.11958,2452.82,2509.94,2938.61,147.15,2791.46,89.9149549
UK,Chamoli,Dewal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,Thethurai,54.718902,2059.2,2113.92,2644.42,264.45,2379.97,88.82128766
TN,Theni,Rajathani,38.136796,1395.0,1433.14,1748.72,174.87,1573.85,91.05950376
UK,Chamoli,Tharali,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Theni,Kandamanur,19.06,1358.48,1377.54,1567.28,156.73,1410.55,97.6597781
TN,Tiruppur,Dharapuram,80.063603,1525.39,1605.46,2468.93,246.89,2222.04,72.25162463
TN,Tiruppur,Thungavi,62.580126,3306.25,3368.83,4526.63,452.66,4073.97,82.69157603
TN,Tiruppur,Tiruppur (N),87.798379,98.0,185.8,199.68,9.99,189.69,97.94928568
TN,Thoothukudi,Parivallikottai,23.796759,756.0,779.79,906.78,90.68,816.1,95.55079034
TN,Thiruvarur,Vadapathimangalam,97.389489,850.8398,948.23,1100.08,110.0,990.08,95.77306884
TN,Vellore,Ussoor,39.05330275,411.89,450.95,501.13,50.11,451.02,99.98447962
TN,Tirupathur,Ambalur,55.34107,533.2,588.54,734.44,73.45,660.99,89.03916852
TN,Ranipet,Pallur,197.33194,1318.34,1515.67,2061.68,206.17,1855.51,81.68481981
TN,Virudhunagar,Alangulam,58.737294,1042.2,1100.93,1237.74,123.78,1113.96,98.83029911
UK,Chamoli,Narain Bagao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tirupathur,Pudurnadu,35.08019,462.13,497.21,640.94,64.09,576.85,86.19398457
TN,Virudhunagar,Amathur,123.002906,718.2,841.2,990.74,99.07,891.67,94.33983424
TN,Virudhunagar,Mandapasalai,66.217208,675.6,741.81,1183.76,118.38,1065.38,69.62867709
TN,Virudhunagar,Nenmeni,4.102308,482.4,486.51,926.19,92.62,833.57,58.36462445
TN,Virudhunagar,Pillaiyarkulam,272.9,1604.7,1877.6,2042.62,204.26,1838.36,102.1345112
TN,Kallakkurichi,Nagalur,245.6703297,3094.48,3340.15,4075.51,407.55,3667.96,91.06287964
TN,Virudhunagar,Seithur,131.280472,1428.3,1559.58,3064.96,306.49,2758.47,56.53786338
TN,Viluppuram,Chithalingamadam,76.554954,2433.6,2510.16,2449.27,244.93,2204.34,113.8735404
TN,Viluppuram,Vadasiruvalur,93.793539,2741.2,2835.0,2990.4,299.04,2691.36,105.3370787
TN,Viluppuram,Olakkur,119.457492,1086.4,1205.85,1241.52,124.15,1117.37,107.9185946
MH,Aurangabad,Khuldabad,211.9532417,3807.737084,4019.69078,5699.222145,284.962389,5414.259756,74.24266588
MH,Amravati,Bhatkuli,27.9703429,182.9445521,210.9158906,399.8101016,19.99078776,379.8193138,55.53058597
MH,Amravati,Chandur Bazar,366.8067538,8931.885156,9298.70531,6996.856312,494.5755813,6502.28073,143.0068263
UK,Uttarkashi,Dunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH,Amravati,Chikhaldara,132.4132518,1798.973607,1931.408334,3228.764831,241.3381215,2987.42671,64.65123738
MH,Amravati,Daryapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH,Amravati,Nandgaon,616.1083225,5362.656406,5978.767599,7751.463004,387.902271,7363.560733,81.19397416
UK,Uttarkashi,Chinyalisaor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH,Amravati,Warud,358.2064936,15718.84668,16077.0539,11484.63098,1124.246746,10360.38424,155.1781626
MH,Aurangabad,Aurangabad,665.5441334,8275.254998,8940.786533,12719.62327,636.0214139,12083.60185,73.99107189
GJ,Kachchh,Rana And Kutch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Uttarkashi,Naugaon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Uttarkashi,Purola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Uttarkashi,Bhatwari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Uttarkashi,Mori,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Chamoli,Joshimath,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Chamoli,Dasholi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Rudraprayag,Agasthamuni,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Tehri Garhwal,Bhilganga,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Tehri Garhwal,Jaunpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Dehradun,Raipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Dehradun,Kalsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Dehradun,Chakrata,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Pauri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Thalisain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Pabo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Yamkeshwar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Dogadda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Rikhnikhal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Naunidanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Garhwal,Khirsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Pithoragarh,Munsyari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Pithoragarh,Dharchula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Bageshwar,Kapkot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Bageshwar,Garud,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Almora,Takula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Almora,Dwarahat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Almora,Bhikiyasain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Almora,Bhainsiya Chhana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Champawat,Champawat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Champawat,Barkakot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Nainital,Kotabagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Nainital,Rambagh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Nainital,Okhal Kanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,Nainital,Bhimtal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Ukhrul,Ukhrul North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Senapati,Paomata,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Senapati,Mao-Maram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Tamenglong,Tamenglong North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Senapati,Sadar Hills West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Ukhrul,Ukhrul Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Tamenglong,Tamenglong West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Senapati,Sadar Hills East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Ukhrul,Kamjong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Tamenglong,Tamenglong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Ukhrul,Phungyar Phaisat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Ukhrul,Ukhrul South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Tamenglong,Nungba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Churachandpur,Thanlon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Churachandpur,Tipaimukh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Chandel,Chandel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,Chandel,Chakpikarong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Dindigul,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Nagapattinam,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Thiruvallur,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Thiruvallur,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tiruvannamalai,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tenkasi,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,Tirunelveli,Reserved Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
